nconf;dreg;dtacc;dtfine;mp
261136;09/10/2012;09/10/2012;11/10/2012;MP 02/028 rev. 10
261144;09/10/2012;09/10/2012;11/10/2012;MP 02/028 rev. 10
261151;09/10/2012;09/10/2012;11/10/2012;MP 02/028 rev. 10
261153;09/10/2012;09/10/2012;11/10/2012;MP 02/028 rev. 10
261165;09/10/2012;09/10/2012;11/10/2012;MP 02/028 rev. 10
261551;10/10/2012;10/10/2012;11/10/2012;MP 02/028 rev. 10
260248;09/10/2012;08/10/2012;11/10/2012;MP 02/028 rev. 10
260252;09/10/2012;08/10/2012;11/10/2012;MP 02/028 rev. 10
261102;09/10/2012;09/10/2012;11/10/2012;MP 02/028 rev. 10
261108;09/10/2012;09/10/2012;11/10/2012;MP 02/028 rev. 10
261112;09/10/2012;09/10/2012;11/10/2012;MP 02/028 rev. 10
261126;09/10/2012;09/10/2012;11/10/2012;MP 02/028 rev. 10
260203;09/10/2012;08/10/2012;11/10/2012;MP 02/028 rev. 10
260212;09/10/2012;08/10/2012;11/10/2012;MP 02/028 rev. 10
260216;09/10/2012;08/10/2012;11/10/2012;MP 02/028 rev. 10
260227;09/10/2012;08/10/2012;11/10/2012;MP 02/028 rev. 10
260233;09/10/2012;08/10/2012;11/10/2012;MP 02/028 rev. 10
260242;09/10/2012;08/10/2012;11/10/2012;MP 02/028 rev. 10
260154;09/10/2012;08/10/2012;11/10/2012;MP 02/028 rev. 10
245366;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245426;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245431;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245436;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245438;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245294;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245302;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245316;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245326;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245333;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245347;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245236;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245243;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245252;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245265;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245274;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245286;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244622;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244632;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244657;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244680;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
245209;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
